"Topic	Comp	Lexi.C	Syn.C	Form	Spec	Fact	W.len	S.len	Type	Content	Function	Verb	Noun	Adj	Adv	Prep	Pron	Art	Prop	Number	Interj	PP	NP	ADJP	VP	ADVP	NN	TTR"
"Cause	3.893461149	3.998033409	3.788888889	2.9	3.222222222	3.369803341	5.516172639	10.83333333	10.33333333	7.111111111	4.388888889	1.777777778	2.833333333	0.944444444	0.222222222	1.333333333	0.333333333	0.055555556	1.333333333	0	0	1.222222222	3.944444444	0.277777778	1.777777778	0.166666667	0.777777778	96.77248677"
"Source	3.519464286	3.778928571	3.26	3.24	2.666666667	3.08522619	5.106428571	8.8	8.4	6	3.4	1.4	4	0	0.2	1.2	0	0	0.4	0	0	0.8	4.2	0	1.4	0.2	1	96.57142857"
"Transmission	4.12803838	3.914047775	4.342028986	3.104347826	3.470531401	3.581742942	5.519679311	12.82608696	12.28985507	8.028985507	6.260869565	2.449275362	3.826086957	1.086956522	0.420289855	1.811594203	0.405797101	0.014492754	0.246376812	0.028985507	0	1.652173913	4.768115942	0.31884058	2.985507246	0.231884058	0.652173913	97.73965257"
"Infection	4.197323721	3.761314108	4.633333333	2.876190476	3.00952381	3.319464744	5.05438833	13.57142857	13	8.80952381	6.19047619	2.476190476	3.666666667	1.380952381	1.047619048	1.285714286	0.523809524	0.047619048	0.238095238	0.142857143	0	1.142857143	4.952380952	0.380952381	2.857142857	0.476190476	0.333333333	97.22151816"
"Diagnosis	4.374694114	4.010499339	4.738888889	3.022222222	3.118518519	3.438642526	5.83859127	14.44444444	13.88888889	8.888888889	7.777777778	2.666666667	4.111111111	1.555555556	0.555555556	1.222222222	0.888888889	0.222222222	0	0.666666667	0	1	4.777777778	0.222222222	3.222222222	0.222222222	0.555555556	98.00925926"
"Mortality	4.32384475	3.747689499	4.9	3.5625	4.3	4.12726895	5.022298149	13.6875	13.3125	9.125	6.5625	2.125	4.0625	1.6875	0.75	1.6875	0.1875	0	0.5	0.75	0	1.5	5.375	0.875	2.375	0.3125	0.875	98.02904248"
"Prevention	3.905280842	3.983600899	3.826960784	2.929411765	3.052287582	3.293082312	5.523878471	11.48039216	11.08823529	7.598039216	5.18627451	2.215686275	3.774509804	0.823529412	0.529411765	1.18627451	0.441176471	0.107843137	0.254901961	0.049019608	0	1.068627451	4.156862745	0.196078431	2.725490196	0.235294118	0.882352941	98.04851929"
"Cure	3.94752244	4.211261096	3.683783784	3.027027027	3.010810811	3.300315299	5.947359711	11.21621622	10.56756757	7.675675676	4.945945946	2.324324324	3.945945946	0.810810811	0.486486486	1.135135135	0.189189189	0.054054054	0.108108108	0.027027027	0.027027027	0.918918919	4.135135135	0.405405405	3.054054054	0.162162162	0.756756757	96.46082675"
"Misc.	3.95666407	4.032893357	3.880434783	2.904347826	3.173913043	3.359158901	5.422198031	11.47826087	11.2173913	8.086956522	4.739130435	2.52173913	3.47826087	1.130434783	0.652173913	1.347826087	0.217391304	0.086956522	0.304347826	0	0	1.347826087	4.260869565	0.173913043	2.652173913	0.304347826	0.782608696	98.70117322"
